S,T,W
Copenhagen,Budapest,107.65310116746876
Paris,Helsinki,93.27654910097137
Budapest,Helsinki,165.45065386332067
Rome,Vienna,121.8473792541893
Paris,Vienna,71.77694055558338
Helsinki,Vienna,84.68098419929021
Copenhagen,Rome,96.71342750202865
Rome,Helsinki,156.6098727613861
Helsinki,Rome,87.67229732992264
Copenhagen,Vienna,110.34400754789182
Vienna,Copenhagen,103.27664045746525
Vienna,Rome,106.90611306626292
Berlin,Copenhagen,104.57918393003455
Vienna,Paris,103.23634367351495
Budapest,Berlin,115.22326170390433
Helsinki,Paris,101.14634013941507
Vienna,Helsinki,140.11991772214145
Budapest,Paris,109.11548221620848
Copenhagen,Helsinki,113.84393955214003
Berlin,Helsinki,122.16698007335096
Rome,Copenhagen,97.88156546573774
Berlin,Vienna,121.6152251697094
Paris,Copenhagen,70.91833880844989
Copenhagen,Berlin,109.02144566495446
Rome,Budapest,130.33654475327384
Budapest,Rome,107.90561159381281
Budapest,Copenhagen,110.67622814586977
Budapest,Vienna,127.45683110516445
Vienna,Berlin,109.16529986146962
Helsinki,Berlin,93.768372126294
Rome,Berlin,106.4117928360873
Helsinki,Copenhagen,95.66629879529982
Paris,Budapest,70.58364471135697
Copenhagen,Paris,107.38481200241328
Helsinki,Budapest,77.16164963070015
Berlin,Budapest,124.65632289143097
Rome,Paris,103.90238007873062
Berlin,Paris,106.29056785125395
Paris,Berlin,73.25525725227756
Paris,Rome,71.75557921277762
Vienna,Budapest,129.11919020070445
Berlin,Rome,109.06968446958038
