S,T,W
Copenhagen,Budapest,223.5836916620907
Paris,Helsinki,242.6686071050869
Budapest,Helsinki,310.28551739494367
Rome,Vienna,272.6141207250301
Paris,Vienna,215.99868908185476
Helsinki,Vienna,319.09363757412405
Copenhagen,Rome,256.8016695935099
Rome,Helsinki,282.1545866293049
Helsinki,Rome,327.6184555378087
Copenhagen,Vienna,234.41200114456979
Vienna,Copenhagen,246.777082891053
Vienna,Rome,288.19515460470814
Berlin,Copenhagen,220.33371238706974
Vienna,Paris,235.69861125937499
Budapest,Berlin,296.39326332788914
Helsinki,Paris,272.64196644331577
Vienna,Helsinki,260.5917060194051
Budapest,Paris,265.5033102475393
Copenhagen,Helsinki,226.04335037263678
Berlin,Helsinki,228.21817748348354
Rome,Copenhagen,263.93835692683143
Berlin,Vienna,237.2716381641185
Paris,Copenhagen,223.16379386776248
Copenhagen,Berlin,232.98493120867838
Rome,Budapest,256.1316184071969
Budapest,Rome,336.2411542933329
Budapest,Copenhagen,284.94727694271137
Budapest,Vienna,323.8720472193562
Vienna,Berlin,256.6653884730739
Helsinki,Berlin,310.613805849495
Rome,Berlin,262.1803753310586
Helsinki,Copenhagen,301.0853131387576
Paris,Budapest,196.35186933956265
Copenhagen,Paris,227.54746857158608
Helsinki,Budapest,296.5319744061374
Berlin,Budapest,229.08025165771448
Rome,Paris,259.59141580603256
Berlin,Paris,221.49773596419448
Paris,Berlin,222.32738664348597
Paris,Rome,268.99731832234175
Vienna,Budapest,264.38852693614564
Berlin,Rome,259.61237628160166
