S,T,W
Copenhagen,Budapest,65.327783347449
Paris,Helsinki,11.772074180940589
Budapest,Helsinki,58.76313130519105
Rome,Vienna,55.33415921627344
Paris,Vienna,46.76494109498419
Helsinki,Vienna,32.13624549775023
Copenhagen,Rome,45.12614303368071
Rome,Helsinki,34.316577823160465
Helsinki,Rome,19.945697088740257
Copenhagen,Vienna,58.49806477939246
Vienna,Copenhagen,37.494307756298475
Vienna,Rome,52.297860308606026
Berlin,Copenhagen,41.3118029990797
Vienna,Paris,25.229335050789686
Budapest,Berlin,45.29420561847273
Helsinki,Paris,8.622471996948526
Vienna,Helsinki,51.13031419578925
Budapest,Paris,25.053774170242708
Copenhagen,Helsinki,51.09931019030317
Berlin,Helsinki,46.779737602123305
Rome,Copenhagen,30.525819928825374
Berlin,Vienna,59.024256504173906
Paris,Copenhagen,31.239787091481087
Copenhagen,Berlin,49.12163952887108
Rome,Budapest,62.759252985039076
Budapest,Rome,52.575543321302426
Budapest,Copenhagen,37.79582498769365
Budapest,Vienna,58.68008182386124
Vienna,Berlin,45.18255335780532
Helsinki,Berlin,28.490147033992354
Rome,Berlin,37.79717196984853
Helsinki,Copenhagen,29.282396105370637
Paris,Budapest,46.84172062934097
Copenhagen,Paris,21.89001229029475
Helsinki,Budapest,38.26060420237895
Berlin,Budapest,64.42812381431362
Rome,Paris,28.746438179335378
Berlin,Paris,22.9535744887714
Paris,Berlin,38.15695316253644
Paris,Rome,54.3022860915348
Vienna,Budapest,65.65732575936119
Berlin,Rome,49.47701980858334
