S,T,W
Copenhagen,Budapest,139.58650104526632
Paris,Helsinki,109.35876456709725
Budapest,Helsinki,179.9774317852797
Rome,Vienna,130.69960564908027
Paris,Vienna,111.06272517256262
Helsinki,Vienna,79.70668172479849
Copenhagen,Rome,97.43631814993468
Rome,Helsinki,162.68432143373985
Helsinki,Rome,63.00811654927304
Copenhagen,Vienna,127.1283337344416
Vienna,Copenhagen,87.59852543414262
Vienna,Rome,111.52029683128762
Berlin,Copenhagen,96.75486926691887
Vienna,Paris,67.1231042027231
Budapest,Berlin,99.76350298633601
Helsinki,Paris,53.76246717548941
Vienna,Helsinki,171.423058209223
Budapest,Paris,67.58028533021745
Copenhagen,Helsinki,150.53526723449684
Berlin,Helsinki,160.61675570116532
Rome,Copenhagen,78.2257197073198
Berlin,Vienna,134.38080970112546
Paris,Copenhagen,79.08020227200659
Copenhagen,Berlin,109.51872506110519
Rome,Budapest,145.86208692842638
Budapest,Rome,107.34048334256157
Budapest,Copenhagen,84.85980970187414
Budapest,Vienna,126.25456139971243
Vienna,Berlin,104.19434394711305
Helsinki,Berlin,70.08267454250372
Rome,Berlin,97.88389454095191
Helsinki,Copenhagen,64.62559232390971
Paris,Budapest,111.4941046708401
Copenhagen,Paris,63.58533095102269
Helsinki,Budapest,89.96576145014423
Berlin,Budapest,147.5122654282951
Rome,Paris,67.84188710263287
Berlin,Paris,68.57750953661726
Paris,Berlin,95.06739502240637
Paris,Rome,115.58327404471923
Vienna,Budapest,146.74887489989862
Berlin,Rome,109.09861008398173
