S,T,W
Copenhagen,Budapest,253.8609242728215
Paris,Helsinki,176.076441794685
Budapest,Helsinki,239.66652831447377
Rome,Vienna,243.54501912599778
Paris,Vienna,201.20571996666587
Helsinki,Vienna,295.45121223348764
Copenhagen,Rome,278.0886515435372
Rome,Helsinki,220.7014825916471
Helsinki,Rome,293.6118830529844
Copenhagen,Vienna,260.0975574894424
Vienna,Copenhagen,272.76778403573405
Vienna,Rome,272.33063925689964
Berlin,Copenhagen,266.39334029142935
Vienna,Paris,227.10066950872894
Budapest,Berlin,285.27225738284375
Helsinki,Paris,214.9171094880602
Vienna,Helsinki,231.96908680972442
Budapest,Paris,232.26337581517538
Copenhagen,Helsinki,235.55938716009894
Berlin,Helsinki,236.54617807024175
Rome,Copenhagen,243.49532160819888
Berlin,Vienna,257.90712777453183
Paris,Copenhagen,187.0630635005116
Copenhagen,Berlin,264.5235887730568
Rome,Budapest,238.7437546027101
Budapest,Rome,286.6506885471402
Budapest,Copenhagen,288.68685972448117
Budapest,Vienna,280.04034177916014
Vienna,Berlin,268.0202981639558
Helsinki,Berlin,297.5261481906286
Rome,Berlin,245.5547820889748
Helsinki,Copenhagen,304.81222451053173
Paris,Budapest,194.49170804444066
Copenhagen,Paris,235.13250996777296
Helsinki,Budapest,296.72203004100436
Berlin,Budapest,255.24906776564774
Rome,Paris,194.48043220450197
Berlin,Paris,234.36360412883994
Paris,Berlin,192.40190871652416
Paris,Rome,226.4865439872951
Vienna,Budapest,258.4485673131947
Berlin,Rome,281.10236664654684
